,label,youtube_id,time_start,time_end,split,downloaded
103660,blasting sand,TSe0gK1T_Gg,11,21,train,False
104633,blasting sand,Tk2-PHUQJAU,61,71,train,False
109486,blasting sand,V9_7lzuam0A,86,96,train,False
210428,blasting sand,y9Qz3Um6A1I,34,44,train,False
53764,blasting sand,F2T-QWEjkn4,41,51,train,False
81089,blasting sand,Mxck8UHd5R4,202,212,train,False
65008,blasting sand,IG86mSNSvQw,2,12,train,False
70351,blasting sand,Jo8qQr402Co,24,34,train,False
73592,blasting sand,Kn3CmiA7p3o,14,24,train,False
129730,blasting sand,a60jJAX1BVQ,3,13,train,False
112285,blasting sand,VzK3YkTxdQw,173,183,train,False
90388,blasting sand,PbFwmaOOrSI,26,36,train,False
26839,blasting sand,7GCgd8Gk3s4,276,286,train,False
45304,blasting sand,Ca2cKyaFmGw,37,47,train,False
152573,blasting sand,gs3W0sptdfg,101,111,train,False
27994,blasting sand,7ae81ON5ok4,3,13,train,False
193228,blasting sand,sxGvc60xiNo,70,80,train,False
145788,blasting sand,espGYnUnz9U,9,19,train,False
66568,blasting sand,IgO0Ca9Zw18,110,120,train,False
95768,blasting sand,R971170ETiU,130,140,train,False
187893,blasting sand,rNx9hXBCyDc,272,282,train,False
126951,blasting sand,_H6shTwqBK4,124,134,train,False
12669,blasting sand,2yWnu45dZps,72,82,train,False
76593,blasting sand,LeT3SmpaXBA,117,127,train,False
76468,blasting sand,LbgeD141XHw,97,107,train,False
14344,blasting sand,3TMhMwNtEbc,176,186,train,False
161736,blasting sand,jcQ0dT5BL5o,131,141,train,False
123908,blasting sand,ZPEphUABgqE,24,34,train,False
215594,blasting sand,ziSbF92tCao,178,188,train,False
207276,blasting sand,x9dfwbt-n4A,137,147,train,False
161010,blasting sand,jNtt4fYg-L0,74,84,train,False
41568,blasting sand,BWWwNOVL2nk,74,84,train,False
84895,blasting sand,O4rD_uupZiQ,0,10,train,False
146542,blasting sand,f5MX3Bw0_dg,78,88,train,False
143968,blasting sand,eKzLUVOlMrI,102,112,train,False
48776,blasting sand,DbRziEE8tWQ,81,91,train,False
128784,blasting sand,_oOc3hrv9AY,77,87,train,False
137803,blasting sand,cUnySBFa5is,156,166,train,False
63812,blasting sand,Hu4_6llDOkU,107,117,train,False
29883,blasting sand,8A97QiM1qSM,31,41,train,False
90967,blasting sand,Pm2kfGtp5jI,394,404,train,False
47936,blasting sand,DOYPYj7F7sU,52,62,train,False
118817,blasting sand,XvG6maxSx2c,412,422,train,False
128240,blasting sand,_dvqRLinnuk,112,122,train,False
12495,blasting sand,2uwQECLtEy4,24,34,train,False
41114,blasting sand,BOaoKRIzAFQ,442,452,train,False
5425,blasting sand,0k9R5jyVCGg,134,144,train,False
216237,blasting sand,zv4cF-fRrAw,108,118,train,False
119475,blasting sand,Y4yM1Mi9cek,64,74,train,False
166629,blasting sand,l3o4uu0OayI,69,79,train,False
47796,blasting sand,DLlaubVWgjg,88,98,train,False
126125,blasting sand,_1x3FgcOKdQ,18,28,train,False
109578,blasting sand,VBHXDUHfM8E,157,167,train,False
42842,blasting sand,BsCtQ3J2yTI,19,29,train,False
32240,blasting sand,8rxrya_9cP0,622,632,train,False
99724,blasting sand,SHBg6TNUDkA,20,30,train,False
173763,blasting sand,nAGl452t8LM,11,21,train,False
73343,blasting sand,KhW_6Iq8_Ao,0,10,train,False
40083,blasting sand,B5X_LorSHQI,3,13,train,False
126351,blasting sand,_5moslIsl5A,37,47,train,False
109394,blasting sand,V7rPO_Gl0hE,32,42,train,False
92235,blasting sand,Q8OYd0cubZg,236,246,train,False
213243,blasting sand,z0GB3dGD47Y,84,94,train,False
143564,blasting sand,eD9S_PXLQCA,72,82,train,False
101227,blasting sand,ShXoi3c7Obc,28,38,train,False
204115,blasting sand,wHgvDv-zVUU,5,15,train,False
133207,blasting sand,b8d879u75L0,86,96,train,False
25801,blasting sand,6wTaT9tgCac,92,102,train,False
159484,blasting sand,ivg4EvznuWs,292,302,train,False
33154,blasting sand,97XlpmVMrjM,7,17,train,False
58053,blasting sand,GH11H17u0Jk,17,27,train,False
203202,blasting sand,w-iOdTcYmBI,154,164,train,False
22269,blasting sand,5rIddilJ16A,8,18,train,False
14145,blasting sand,3PZlkP70z6Q,97,107,train,False
205972,blasting sand,woSV5bcEvmU,56,66,train,False
22727,blasting sand,6-0BmZzc1Ec,195,205,train,False
176867,blasting sand,o7NJpc3WUSE,181,191,train,False
7259,blasting sand,1IsnjOggg7M,187,197,train,False
104435,blasting sand,TgNpzzsjwoc,94,104,train,False
180273,blasting sand,p5uhvCM1rLc,21,31,train,False
157209,blasting sand,iGPHQ69flPM,288,298,train,False
211868,blasting sand,yaj2gXjkTyA,39,49,train,False
24799,blasting sand,6dLNI2BPTY0,57,67,train,False
108503,blasting sand,UrTY8dgWSIs,112,122,train,False
50929,blasting sand,EE6HJ9_TqJA,305,315,train,False
125247,blasting sand,Zmk4fxl7eL4,19,29,train,False
109098,blasting sand,V1cuW2vMukg,418,428,train,False
136028,blasting sand,bxXZ3OBOtao,29,39,train,False
109121,blasting sand,V28EVp693_4,4,14,train,False
16449,blasting sand,45sEE28jGGU,178,188,train,False
206865,blasting sand,x3PC3vjbOEs,235,245,train,False
81091,blasting sand,MxgpkqgBysU,0,10,train,False
24756,blasting sand,6cPJ6aXGqSg,34,44,train,False
36569,blasting sand,A5OYDKU2Meg,132,142,train,False
157434,blasting sand,iL7b3oHnauM,9,19,train,False
2202,blasting sand,-kYzxMKp514,86,96,train,False
201386,blasting sand,vRrli4074z8,245,255,train,False
38294,blasting sand,A_qg12zVAjQ,26,36,train,False
72543,blasting sand,KUP8GVeufQ8,31,41,train,False
67049,blasting sand,Iq5i8SxFxb4,12,22,train,False
204206,bookbinding,wJfx2wzJqvE,234,244,train,False
48086,bookbinding,DRrJo4DHZ3Q,491,501,train,False
74412,bookbinding,L0x9WfCxops,23,33,train,False
202979,bookbinding,vvr4eU8He8M,54,64,train,False
115918,bookbinding,X3qPB1e2VpU,5,15,train,False
241,bookbinding,-60KGw7ow0k,198,208,train,False
71085,bookbinding,K0SccCfOKBY,210,220,train,False
126519,bookbinding,_8nqKcFV-6A,335,345,train,False
206614,bookbinding,wzmo4DTF0XM,68,78,train,False
64802,bookbinding,IBxZp8PJF2o,891,901,train,False
113387,bookbinding,WIe6qwet2ZA,32,42,train,False
151869,bookbinding,gg01twqaAeM,30,40,train,False
153373,bookbinding,h7E93KtHxuE,364,374,train,False
201786,bookbinding,vYwnxdOQvzE,22,32,train,False
9880,bookbinding,273F_L2VRo8,166,176,train,False
38924,bookbinding,AlgneUHdEus,138,148,train,False
200568,bookbinding,vBvX858Vtrc,131,141,train,False
149836,bookbinding,g2i161-fgD0,116,126,train,False
145843,bookbinding,etlICi0IvXg,471,481,train,False
3596,bookbinding,0BOzdhC4WJs,351,361,train,False
9174,bookbinding,1tLxKn0Wa2I,888,898,train,False
200510,bookbinding,vB4kgahYG7I,671,681,train,False
1827,bookbinding,-dgPOUvDrcw,66,76,train,False
51176,bookbinding,EHsEsqcFz-w,10,20,train,False
175089,bookbinding,naBqCJXiUQs,95,105,train,False
5370,bookbinding,0jGzZh482P8,265,275,train,False
180658,bookbinding,pChEwCfhGUo,346,356,train,False
146829,bookbinding,f9U58HuFgyM,363,373,train,False
24053,bookbinding,6PgIjKO-Zwg,63,73,train,False
32933,bookbinding,937rWn0YHfo,69,79,train,False
207644,bookbinding,xHN9bL0BFg4,516,526,train,False
117864,bookbinding,Xd8YwJtoAhQ,304,314,train,False
174201,bookbinding,nItUFW54nhg,43,53,train,False
278,bookbinding,-6xAzSJcp_A,41,51,train,False
116209,bookbinding,X9EZhXQ1p1c,131,141,train,False
159031,bookbinding,imU86nDSHMQ,1272,1282,train,False
189263,bookbinding,rlFZQm5VDW4,640,650,train,False
11417,bookbinding,2_srxC9uOI8,74,84,train,False
207677,bookbinding,xI0pcRd_qdw,506,516,train,False
155191,bookbinding,hdwDYVlZK2A,469,479,train,False
161746,bookbinding,jcZZGoEUipg,336,346,train,False
194038,bookbinding,tAzBUdG-xjg,337,347,train,False
199738,bookbinding,uw4iqJ6AQqY,402,412,train,False
108527,bookbinding,UroLmai7quE,1983,1993,train,False
191698,bookbinding,sWw0vRO2I6k,539,549,train,False
185218,bookbinding,qb6kjjKrnns,50,60,train,False
82134,bookbinding,NHbZsBbaQQ0,33,43,train,False
176456,bookbinding,o-kWZMR13fs,25,35,train,False
105593,bookbinding,U1IKdQQeCuw,1204,1214,train,False
206184,bookbinding,wsg6QJPNn4o,654,664,train,False
179518,bookbinding,osnKPhs-xKk,145,155,train,False
92704,bookbinding,QHRkLZzpbOA,37,47,train,False
199688,bookbinding,uvEN4RSWfrA,18,28,train,False
1298,bookbinding,-TJ5RM7Lm04,33,43,train,False
69388,bookbinding,JXICi7_A9T8,513,523,train,False
130906,bookbinding,aT5toj4EG8o,1006,1016,train,False
114301,bookbinding,W_y_TLqmBvA,2250,2260,train,False
179566,bookbinding,othYtMhFdOU,20,30,train,False
197999,bookbinding,uOkvCw-Io6Y,216,226,train,False
175558,bookbinding,nivNPCoAHcM,139,149,train,False
198574,bookbinding,u_MxokgVZ0E,28,38,train,False
175257,bookbinding,ndU5LDJlDXU,135,145,train,False
155778,bookbinding,hokM8dQc3aU,211,221,train,False
167495,bookbinding,lKibS2Y9XN8,59,69,train,False
165612,bookbinding,kleaxbVqU1s,229,239,train,False
164793,bookbinding,kWNK95jDCxM,378,388,train,False
68554,bookbinding,JGviApSvYpE,308,318,train,False
140903,bookbinding,dRAvqjxLGcM,292,302,train,False
212108,bookbinding,yfn02xEkcb8,729,739,train,False
